"Lat","Long","Name","Html"
46.188494,-62.932969,"Busters Garage","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.265678,-63.158511,"Skate Country","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.274535,-63.106944,"Purple House","N","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.286329,-63.276443,"Red Roof Church","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.509245,-63.992138,"Irving Service Station","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.405732,-62.256311,"Artesian Well","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.164344,-62.648590,"Montague Dairy","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.222967,-63.305076,"Fairyland","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.233690,-63.126961,"Sir John A Statue","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.266062,-63.144553,"Towers","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
46.409386,-63.485383,"Devil's Punchbowl","<a href='http://www.trailpeak.com/trail-Devil-s-Punchbowl-near-Charlottetown-PE-10157' target='_blank'>External Link</a>"
46.204313,-63.087862,"Beacon Hill Sign","<a href='http://peidevs.github.io' target='_blank'>External Link</a>"
